Name,Trait,Resources,Influence,Expansion,Technology Specialties,Faction,Legendary ,System ID,Flavour
Mecatol Rex,,1,6,Base,,,,18,
Nestphar,,3,2,Base,,Arborec,,,The fungal world of Nestphar is home to the symbiotic Arborec. Nestphar's orbit is filled with Flaah spores that extend its Symphony.
Arc Prime,,4,0,Base,,Barony of Letnev,,,"Below the thin surface of atmosphere lie the continent-sized caverns of the Letnev. Rich in metals and energy§ its vast fungus fields struggle to feed its population."
Wren Terra,,2,1,Base,,Barony of Letnev,,,"Arid§ windy§ and populated primarily by predatory Daartar hounds. The Barony utilizes large swathes of its northern steppes for low-yield agriculture."
Lisis II,,1,0,Base,,Clan of Saar,,,The crystal caverns of Lisis II are the source of most of the Jorun colonists' water and foodstuffs. Notable for the great crescent-shaped valley of Gavar.
Ragh,,2,1,Base,,Clan of Saar,,,"The capital colony of the Saar and the epicenter of the Saar religion. Also called ""Ragh's Call"" by the Saar."
Muaat,,4,1,Base,,Embers of Muaat,,,"The fiery surface of Muaat is uninhabitable to most races. It is home to the Gashlai§ and only here can they live outside of their cumbersome ember suits."
Hercant,,1,1,Base,,Emirates of Hacan,,,"Also called the ""Fire Sand."" Seat of the Quieron§ the Hacan council§ and the Sword Fleet. Harbors the greatest of the famous Hacan moving cities."
Arretze,,2,0,Base,,Emirates of Hacan,,,"Also called the ""Moving Sand."" The desert home of the Hacan Mowshir trade families and the great orbital trading ports of Haal§ Shimax§ and Dry Wind."
Kamdorn,,0,1,Base,,Emirates of Hacan,,,"Also called the ""Dream Sand."" The least populated of the Hacan planets§ but the center of Hacan mythology and religion. The only known source of starflowers."
Jord,,4,2,Base,,Federation of Sol,,,"Distinctly seasonal§ with the greatest variety of climates and ecologies in the galaxy. The Federation of Sol rules the Jord humans from the great city of New Moscow."
Creuss,,4,2,Base,,Ghosts of Creuss,,,"Trapped between matter and void lies the realm of the Creuss. Made of trapped light and radioactive gas§ this realm hosts the most peculiar forms of life."
[0.0.0],,5,0,Base,,L1Z1X Mindnet,,,"This elusive energy-rich planet was the desperate destination of the secret Lazax diaspora. Now§ it is a technological nightmare."
Moll Primus,,4,1,Base,,Mentak Coalition,,,"In places lush and rich§ in others a barren wasteland. This old Lazax penal colony has prospered under the rule of the governing Mentak Coalition."
Druaa,,3,1,Base,,Naalu Collective,,,"Despite its oversized poles§ Druaa is one of the most beautiful planets. Its flowered steppes§ violet mountains§ and glowing forests are famous across the galaxy."
Maaluuk,,0,2,Base,,,,,"Mostly pungent marshland and mudplains. Original world of the Naalu race§ which now enslaves winged Miashan to work its great iron-extraction plants."
Mordai II,,4,0,Base,,Nekro Virus,,,"Mined to its bones by the virulent Nekro§ Mordai II is reinforced by graviton energy beams that barely keep the world from collapsing in on itself."
Tren'Lak,,1,0,Base,,Sardakk N’orr,,,"Icy and desolate. Other than the ferocious snow dracs and the rare icemoon flowers§ life is restricted to the N'orr boomtowers and ice mines."
Quinarra,,3,1,Base,,Sardakk N’orr,,,"Enormous and oceanless. Not only the largest planet supporting sentient life§ but also the one with the least moisture. Home to the Sardakk N'orr hive-cities."
Jol,,1,2,Base,,Universities of Jol-Nar,,,"Covered by cold oceans and a few inhospitable islands. The seat of the Headmaster§ the Hylar ruler§ dwells in the deep underwater city of Wun-Escha."
Nar,,2,3,Base,,Universities of Jol-Nar,,,Covered by mild oceans and a small archipelago called The Reef by off-worlders. The Circle of Regents makes its home in the underwater city-school of Nuun-Dascha.
Winnu,,3,4,Base,,Winnu,,,The shining cities of the Winnu are the last places where authentic Lazax art and culture are still revered.
Archon Ren,,2,3,Base,,Xxcha Kingdom,,,"Populated by small arboreal villages, this planet's only true urban center is the royal city of Kklaj.
The Xxcha home world and home to the renowned library of Xuun.",,,,,,,,,
Archon Tau,,1,1,Base,,Xxcha Kingdom,,,Ravaged by Sol and Letnev bombardments during the Twilight Wars. The Xxcha commit substantial resources to rebuilding its ecology and cleansing its toxic continents.
Darien,,4,4,Base,,Yin Brotherhood,,,"Darien is the heart of the brotherhood's realm. Here§ within the great Monastery of Lucas§ rests the Yin§ the holy egg from which all the Brotherhood were made."
Retillon,,2,3,Base,,Yssaril Tribes,,,"A mix of tundra§ swamps§ rivers§ and dense forests. Home to the mysterious§ chameleonic Yssaril§ whose capital Wueca has eluded all attempts at cartography."
Shalloq,,1,2,Base,,Yssaril Tribes,,,"Covered with tundra§ wetlands§ and rainforest§ much like its sister-planet Retillion. Home to the Mojeb§ the only major Yssaril city catalogued by off-worlders."
Valk,,2,0,Prophecy of Kings,,Argent Flight,,,Valk contains lodes of rare minerals and metals within its crust. Skyhooks bring ore shipments up from the surface to the open-air shipyards in orbit
Avar,,1,1,Prophecy of Kings,,Argent Flight,,,"Lighter than its companion worlds§ Avar is riddled with caverns. The majority of the Atharal Torus lives in the bustling aeries within§ sheltered from the radiation bursts emanating from nearby Phorus"
Ylir,,0,2,Prophecy of Kings,,Argent Flight,,,"The smallest of the three planets in the Atharel Torus§ Ylir is covered in kilometers of water. The Murmeration meets in platform cities that drift with the currents"
The Dark,,3,4,Prophecy of Kings,,Empyrean,,,"A massive nebula dominating the skies of many core worlds. Thick clouds of dust obscure its heart§ a lightless refuge where Empyrean ships have congregated for millennia"
Ixth,,3,5,Prophecy of Kings,,Mahact Gene-Sorcerers,,,"A dry§ dead world of black volcanic mountains and molten seas of lava. The great necropolis of Aior Dol Gorgos on the Plateau Imperia is the only evidence of civilization."
Naazir,,2,1,Prophecy of Kings,,Naaz-Rokha Alliance,,,"A small planet of high mountains and deep§ narrow seas. Cities and vertical farms burrow into cliff faces§ while orbital factories produce high-tech consumer goods"
Rokha,,1,2,Prophecy of Kings,,Naaz-Rokha Alliance,,,Terraformed by comet-drops and Alliance biotech into a cool world with alpine forests and stormy seas. The city of Dormont Vault boasts the famous Exotic Energies Institute
Arcturus,,4,4,Prophecy of Kings,,Nomad,,,"Cold and still§ with a surface buried beneath kilometers of ice. A few smuggler bases dot the surface§ but Sumerian Station circles the planet§ making it a vital trading destination"
